,Born,Died,Occupation,Parent(s),name,Citizenship,Spouse(s),Institution,Field,School ortradition,Alma mater,Doctoraladvisor,Doctoralstudents,Influences,Awards,Nationality,Contributions,Known for,Preceded by,Alma mater,Profession,Website,Institutions,Fields,Notable work,Thesis,Prime Minister,Succeeded by,Political party,Other politicalaffiliations,Signature,Doctoral advisor,Doctoral students,Deputy,Secretary-General,Children,Education,Venerated in,Canonized,Major shrine,Feast,Attributes,Patronage,President,Era,Region,School,Notable students,Main interests,Notable ideas,Genre,Notable works,Notable awards,Spouse,Employer,Net worth,Relations,Nickname(s),Serving with,Constituency,Influenced,Premier,Other notable students,Governor,Resting place,Title,Successor,Nominated by,Majority,Parents,Known for,Appointed by,Date of birth,Place of birth,Knessets,2006–2015,2009–2011,Monarch,Governor General,Leader,Relatives,Disappeared,Status,Chair,Tradition or movement,Academic advisors,Residence,Allegiance,Service/branch,Years of service,Rank,Unit,Academicadvisors,Vice Chancellor,Bundestag Leader,Chancellor,Branch/service,Battles/wars,Other academic advisors,Discipline,School or tradition,Director,Origin,Genres,Occupation(s),Years active,Labels,Associated acts,Authority control ,Other names,First Deputy,Other notable students,Years active,GovernorGeneral,Sub-discipline,Family,Cause of death,Cause of death,Vice Premier,Cabinet,Religion,Denomination,Jurisprudence,Creed,Main interest(s),Notable idea(s),Vice President,Mother,Father,Predecessor,Board member of,Partner(s),House Speaker,Net worth,Pen name,Charges,Alias,Height,Weight,Added,Removed,Number,Motto,Formation,Founder,Type,Location,Revenue .mw-parser-output .nobold{font-weight:normal}(2018) ,Expenses (2018),Lieutenant Governor,Subject,First Mayor,Domestic partner,Hangul,Revised Romanization,McCune–Reischauer,Movement,Affiliation,Committees,General Manager,Church,Diocese,Appointed,In office,Consecration,Buried
228," (1973-11-02) November 2, 1973 (age 46)New York City",,,,Amy_Finkelstein,,Benjamin Olken,Massachusetts Institute of Technology,"Public finance, health economics",,Massachusetts Institute of TechnologyOxford UniversityHarvard University,James M. PoterbaJonathan Gruber,Heidi Williams[1],,"John Bates Clark Medal, 2012  Elaine Bennett Research Prize, 2008",American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229," (1943-10-15) October 15, 1943 (age 76)Mazabuka, Northern Rhodesia (now Zambia)",,,,Stanley_Fischer,,,,Macroeconomics,New Keynesian economics,,Franklin M. Fisher[1],Zvi Bodie[2]Isher Judge Ahluwalia[3]Frederic Mishkin[4]Steven M. Sheffrin[5]Olivier Blanchard[6]Ben Bernanke[7]David Hsieh[8]Kenneth D. West[9]Greg Mankiw[10]Jeffrey Miron[11]Mark Bils[12]David Romer[13]Ricardo J. Caballero[14]D. Nathan Sheets[15]Ilan Goldfajn[16],,,,,,Ann Krueger,,,,,,,,Ariel SharonEhud OlmertBenjamin Netanyahu,Larry Summers,,,,,,,,,"London School of Economics (BS, MS)Massachusetts Institute of Technology (PhD)",,,,,,,Barber Conable,,,,,,,,,,,,,,,,,,,,,,,,Barack Obama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michel CamdessusHorst Köhler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,,,,,Price_V._Fishback,United States,,University of Arizona,Economic HistoryLabor EconomicsPolitical EconomyLaw and Economics,,University of WashingtonButler University,Robert Higgs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,"(1867-02-27)February 27, 1867Saugerties, New York","April 29, 1947(1947-04-29) (aged 80)New York City, New York",,,Irving_Fisher,,Margaret Hazard(m. 1893; her death 1940),,Mathematical economics,Neoclassical economics,Yale University (BA) (PhD),Josiah Willard GibbsWilliam Graham Sumner,,"William Stanley Jevons, Eugen von Böhm-Bawerk",,United States,Fisher equationEquation of exchangePrice indexDebt deflationPhillips curveMoney illusionFisher separation theoremIndependent Party of Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232," (1972-01-19) January 19, 1972 (age 48)Stanford, California",,"Entrepreneur, speaker, inventor",,Jon_Fisher,,Darla Kincheloe Fisher,,,,,,,,,,,,,,,www.crowdoptic.com,,,,,,,,,,,,,,one daughter[2],"Vassar College, University of San Francisco[1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233, (1942-08-19) 19 August 1942 (age 77),,,,Jean-Paul_Fitoussi,,,Institut d'études politiques de Paris,Political economicsMacroeconomics,,University of Strasbourg,,,Paul ChamleyPaul Coulbois,,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234, (1966-01-01) 1 January 1966 (age 54),,,,Amelia_Fletcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"London, England, United Kingdom",Indie pop,"Singer, songwriter, guitarist, economist",1986–present,"Sarah, K, Wiiija, Elefant, Fortuna Pop!, Matinée","Talulah Gosh, Heavenly, The Pooh Sticks, Marine Research, Tender Trap, The Catenary Wires",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,"(1937-05-06)May 6, 1937Moose Jaw, Saskatchewan",,,,John_E._Floyd,,,,,,"University of Saskatchewan
University of Chicago",,,,,Canadian,,,,,,,"University of Toronto
University of Washington",Economics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,"Christina Flug (1955-01-09) January 9, 1955 (age 65)Poland",,Economist,,Karnit_Flug,,,,,,,,,,,,,,Stanley Fischer,Hebrew University of JerusalemColumbia University,,,,,,,Benjamin Netanyahu,Amir YarondesignateNadine Baudot-Trajtenbergacting,,,,,,,,,Hebrew University Secondary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,"(1926-07-01)July 1, 1926New York City, New York, U.S.","June 11, 2013(2013-06-11) (aged 86)Oak Lawn, Illinois, U.S.",,,Robert_Fogel,,,,Economic historyCliometrics,Chicago School,Stuyvesant High School  Cornell University  Columbia University  Johns Hopkins University,Simon Kuznets,,Nevin Scrimshaw Alok Bhargava,Nobel Memorial Prize in Economic Sciences (1993)  Bancroft Prize (1975),American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evsey DomarAbba LernerFritz Machlup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,"François Marie Charles Fourier(1772-04-07)7 April 1772Besançon, France","10 October 1837(1837-10-10) (aged 65)Paris, France",,,Charles_Fourier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19th-century philosophy,Western philosophy,Utopian socialismFourierism,,Political philosophyEconomicsPhilosophy of desire,"Phalanstère""Attractive work""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,"1961Washington DC, United States of America[1]",,,,Joseph_Francois_(economist),,,"University of Bern,  Professor of International Economics,  Managing Director World Trade Institute",International Economics,,University of Maryland,Arvind Panagariya[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
GND: 121708772
ISNI: 0000 0001 0909 3846
LCCN: n93090824
NKC: pna2005311777
NTA: 156131137
ORCID: 0000-0002-4686-7780
ResearcherID: B-6108-2017
VIAF: 64159904
 WorldCat Identities: lccn-n93090824
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,"Bernard William Fraser (1941-02-26) 26 February 1941 (age 79)Junee, New South Wales",,,,Bernie_Fraser_(economist),,,,,,,,,,,Australian,,,RA Johnston,University of New England (Australia)Australian National University,Economist,,,,,,,Ian Macfarlane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,,,,,Christopher_Freeman,,,Science Policy Research Unit,Science Policy and Innovation,Schumpeterian,,,,Karl MarxJoseph SchumpeterJohn Desmond Bernal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242," (1943-06-29) June 29, 1943 (age 76) [1]Newburgh, New York",,"professor, economist",,Richard_B._Freeman,,,,,,"Dartmouth College (B.A., 1964)Harvard University (Ph.D., Economics, 1969)",John Thomas Dunlop,Alan Krueger,,,USA,,,,,,users.nber.org/~freeman (NBER)scholar.harvard.edu/freeman (Harvard),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,"1944 (age 75–76)Kentucky, United States",,,,Benjamin_M._Friedman,,,Harvard University,Macroeconomics,,"Harvard UniversityKing's College, Cambridge",,Glenn Hubbard[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,"David Director Friedman (1945-02-12) February 12, 1945 (age 75)",,,,David_D._Friedman,,Elizabeth Cook,Santa Clara University,"Economics, law",Chicago school of economics[1],Harvard University (BA)  University of Chicago (PhD),,,"Ronald Coase, Friedrich Hayek, Robert A. Heinlein, Milton Friedman, Rose Friedman, Adam Smith, Richard Timberlake, Alfred Marshall",,American,The Machinery of Freedom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,"(1912-07-31)July 31, 1912Brooklyn, New York, U.S.","November 16, 2006(2006-11-16) (aged 94)San Francisco, California, U.S.",,,Milton_Friedman,,Rose Friedman,"
National Resources Planning Board (1935–1937)
National Bureau of Economic Research (1937–1940)
Columbia University (1937–1941; 1943–1945; 1964–1965)
University of Wisconsin, Madison (1940)
U.S. Department of the Treasury (1941–1943)
University of Chicago (1946–1977)
University of Cambridge (1954–1955)
Hoover Institution (1977–2006)
",,Chicago School,"
Rutgers University (BA)
University of Chicago  (MA)
Columbia University  (PhD)
",Simon Kuznets,Phillip CaganHarry MarkowitzLester G. Telser[1]David I. MeiselmanNeil WallaceMiguel SidrauskiEdgar L. Feige),SmithMarshallMillFisherPaineKnightKuznetsVinerHotellingBurnsHayekH. JonesH.C. SimonsStiglerSchultzGeorge,"
Member of the National Academy of Sciences (1973)
National Medal of Science (1988)
Presidential Medal of Freedom (1988)
Nobel Memorial Prize in Economic Sciences (1976)
John Bates Clark Medal (1951)
",American,"
Price theory · Monetarism
Applied macroeconomics
Floating exchange rates
Permanent income hypothesis
Helicopter money
Volunteer military
Natural rate of unemployment
Friedman test
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,"(1910-12-00)December 1910Staryi Chortoryisk, Volhynian Governorate, Russian Empire (present-day Ukraine)","August 18, 2009(2009-08-18) (aged 98)Davis, California, U.S.",Economist,,Rose_Friedman,,Milton Friedman,,,,Reed CollegeUniversity of Chicago,,,,,,,,,,,,,,,,,,,,,,,,,David D. Friedman Jan Martel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rose D. Friedman, Rose Director",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,"Ragnar Anton Kittil Frisch(1895-03-03)3 March 1895Kristiania, Norway","31 January 1973(1973-01-31) (aged 77)Oslo, Norway",,,Ragnar_Anton_Kittil_Frisch,,,,,,University of Oslo,,,,Nobel Memorial Prize in Economic Sciences (1969),Norway,,EconometricsProduction theory,,,,,University of Oslo,Economics,,,,,,,,,Olav Reiersøl  Trygve Haavelmo[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,"Roland Gerhard Fryer Jr. (1977-06-04) June 4, 1977 (age 43)Daytona Beach, Florida, U.S.",,"Economist, professor",,Roland_Fryer,,,,,,,,,Gary BeckerSteven LevittGlenn Loury,MacArthur Fellowship (2011)Calvó-Armengol Prize (2012)John Bates Clark Medal (2015),,,,,University of Texas at ArlingtonPennsylvania State University,,,Harvard University (2006–present),,,Mathematical Models of Discrimination and Inequality,,,,,,Tomas Sjöström,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249," (1957-03-02) March 2, 1957 (age 63)New York City",,,,Drew_Fudenberg,,,MIT,"Game theory, General equilibrium Theory",,"A.B. Harvard College 1978, Ph.D. MIT 1981",Eric Maskin[1],Matthew RabinGlenn EllisonSendhil Mullainathan,,"Guggenheim Fellowship, 1990; Fellow of the American Academy of Arts and Sciences",USA,"learning in games, Folk theorem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250," (1943-07-21) July 21, 1943 (age 76)Yamaguchi, Japan",,,,Masahisa_Fujita,,,RIETIKonan UniversityUniversity of PennsylvaniaKyoto University,Regional scienceUrban economicsSpatial economics,,University of Pennsylvania (Ph.D. 1972)Kyoto University (B.S. 1966),,,,,,New Economic Geography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251," (1965-05-26) May 26, 1965 (age 55)",,,,Connel_Fullenkamp,,,,,,Harvard UniversityMichigan State University,,,,,,,,,,,,Duke University University of Notre Dame,EconomicsFinance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252," (1970-08-18) August 18, 1970 (age 49)New York City, New York, U.S.",,,,Jason_Furman,,Eve Gerber,,,,,,,,,,,,Alan Krueger,,,,,,,,,Kevin Hassett,Democratic,,,,,,,3,"Harvard University (AB, AM, PhD)London School of Economics (MSc)",,,,,,,Barack Obama,,,,,,,,,,,,,Jesse M. Furman (brother),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,"(1920-07-26)26 July 1920Pombal, Paraiba, Brazil","20 November 2004(2004-11-20) (aged 84)Rio de Janeiro, Rio de Janeiro, Brazil",,,Celso_Furtado,,,"University of Cambridge, CEPAL, Sudene, Cabinet of Brazil, University of Paris",,Structuralist economics,University of Paris,,,"John Maynard Keynes, Raúl Prebisch",,Brazilian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,August 1971 (age 48),,,,Xavier_Gabaix,,,Harvard UniversityNew York UniversityMIT,Macroeconomics,,Harvard UniversityEcole Normale SupérieureParis School of Economics[1],Robert Barro,,,,French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,"Yegor Timurovich Gaidar(1956-03-19)19 March 1956Moscow, Russian SFSR, Soviet Union","16 December 2009(2009-12-16) (aged 53)[1]Odintsovo, Russia",,,Yegor_Gaidar,,Irina Smirnova (div.)   Maria Strugatskaya,,,,,,,,,,,,Igor Lazarev,Lomonosov Moscow State University,,,,,,,Viktor Chernomyrdin,Vasily Barchuk,Union of Rightist Forces (2001–2008),Communist (1980–1991)Democratic Choice (1994–2001),,,,,,3; including Maria,,,,,,,,Boris Yeltsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vladimir Shumeyko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,"James Kenneth Galbraith (1952-01-29) January 29, 1952 (age 68)",,,Catherine GalbraithJohn Kenneth Galbraith,James_K._Galbraith,,Ying Tang,,,,,,,John Kenneth Galbraith,,American,,,,Harvard UniversityYale University,,,University of Texas at Austin,,,A Theory of the Government Budget Process (1981),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Economics,Post-Keynesian economics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,"(1908-10-15)October 15, 1908Iona Station, Ontario, Canada","April 29, 2006(2006-04-29) (aged 97)Cambridge, Massachusetts, U.S.",,,John_Kenneth_Galbraith,,Catherine Merriam Atwater (m. 1937),"Harvard UniversityPrinceton UniversityUniversity of California, Berkeley",,,"Ontario Agricultural CollegeUniversity of California, Berkeley",,,"Thorstein Veblen, Adam Smith, Karl Marx, John Maynard Keynes, Michał Kalecki, Gardiner Means, Adolf A. Berle",Lomonosov Gold Medal (1993)Officer of the Order of Canada (1997) Presidential Medal of Freedom (2000),,"Countervailing power, Technostructure, Conventional wisdom",,Ellsworth Bunker,,,,,,,,,Chester Bowles,,,,,,,,4 including Peter & James,,,,,,,,John F. Kennedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,"(1921-12-13)December 13, 1921New York City, New York","March 7, 2008(2008-03-07) (aged 86)Berkeley, California",,,David_Gale,,,,,,Princeton UniversityUniversity of Michigan Swarthmore College,,,,John von Neumann Theory Prize (1980)Golden Goose Award (2013)Pirelli Internetional Award,American,,Gale transformlinear programmingconvex analysis Chomp Bridg-It  Gale–Shapley algorithmRamsey problem,,,,,"University of California, Berkeley, 1966–2008 Brown University, 1950–65  Rand Corporation, 1957–58 Princeton University 1949–50","Mathematics, economics",,,,,,,,Albert W. Tucker,William A. BrockHal Varian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,1959,,Economist,,William_G._Gale,,Diane Lim (2019 - ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,DannyBecca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260," (1961-01-04) January 4, 1961 (age 59)Barcelona, Spain",,,,Jordi_Gal%C3%AD,,,Universitat Pompeu Fabra (2001–)CREI (1999–)Barcelona Graduate School of Economics (2006–)New York University (1994–01)Columbia University (1989–94),Macroeconomics,New Keynesian economics,MIT (Ph.D. 1989),Olivier Blanchard[1],,Mark Gertler,Yrjö Jahnsson Award (2005),Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,1942 (age 77–78),,,,A._Ronald_Gallant,,,,,,"Iowa State UniversityUniversity of California, Los AngelesSan Diego State University",,,,,American,,,,,,,Pennsylvania State University,"Statistics, econometrics",,,,,,,,Wayne Fuller,Víctor Aguirre-Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,1953 (age 66–67),,,,Oded_Galor,,,Brown University,Economic Growth Comparative Economic Development Evolutionary Economics,,"Columbia University (PhD, 1984)  Hebrew University of Jerusalem (BA, 1978, MA, 1980)",,,,"Doctor Honoris Causa, Poznan University",Israeli,Unified growth theoryInequality and Growth Evolution and Growth Human Diversity and Comparative Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,,,,,Francisco_Javier_Carrillo_Gamboa,,,,,,,,,,,,,research in knowledge systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,,,,Laszlo_Garai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,"9 August 1930Milan, Italy","14 October 2011 (2011-10-15) (aged 81)Lavagna, Italy",,,Pierangelo_Garegnani,,,University of Rome III,Economics,Neo-Ricardian school,"University of Pavia, University of Cambridge",,,Piero Sraffa,,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266," (1931-02-26) February 26, 1931 (age 89)",,Economist and author,,Norton_Garfinkle,,,,,,Columbia University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267," (1955-03-18) March 18, 1955 (age 65)Urbana, Illinois",,,,John_Geanakoplos,,,Yale University,Mathematical economics,,Harvard UniversityYale University,Kenneth Arrow,Stephen Morris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268, (1956-05-09) 9 May 1956 (age 64)Saint-Brieuc (Côtes-d'Armor),,,,Jacques_G%C3%A9n%C3%A9reux,,,,,,,,,,,French,,,,,,http://jacquesgenereux.fr/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,"(1839-09-02)September 2, 1839Philadelphia, Pennsylvania, US","October 29, 1897(1897-10-29) (aged 58)New York City, US",,,Henry_George,,Annie Corsina Fox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Henry George Jr.Anna George de Mille,Primary,,,,,,,,,,Georgism,,"Classical economics, ethics, political and economic philosophy, socialism, capitalism, laissez-faire, history, free trade, land economics","Unearned income, land value tax, municipalization, free public goods from land value capture, single-tax, intellectual property reform, citizen's dividend, monetary sovereignty, the role of monopoly/privilege/land in effecting economic inequality and the business cycle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
